,LESTE,NORTE,CMA,RTP
279,677776.25,7184164.0,89.9721527099609,179.0557561454324
280,677776.5,7184164.0,59.4809951782227,110.71758529747703
281,677776.75,7184164.0,38.1849174499512,72.63078022280845
282,677777.0,7184164.0,25.524959564209,46.98269393947075
283,677777.25,7184164.0,21.1727027893066,37.96705297985065
284,677777.5,7184164.0,22.7481060028076,77.55963431789871
285,677773.0,7184164.25,62.3953285217285,80.02865674208344
286,677773.25,7184164.25,73.7626495361328,103.00579076835008
287,677773.5,7184164.25,88.6416473388672,140.68981050489006
288,677773.75,7184164.25,107.40022277832,165.1491970303722
289,677774.0,7184164.25,133.632751464844,204.93958833363632
290,677774.25,7184164.25,166.265197753906,248.2530491354631
291,677774.5,7184164.25,200.178741455078,288.62948465264856
292,677774.75,7184164.25,226.260711669922,343.21357524391567
293,677775.0,7184164.25,231.62809753418,376.36405156516133
294,677775.25,7184164.25,208.753311157227,363.81323851959144
295,677775.5,7184164.25,187.946395874023,330.3113225879366
296,677775.75,7184164.25,164.60270690918,279.06718058422547
297,677776.0,7184164.25,137.419448852539,221.32943662664036
298,677776.25,7184164.25,107.672660827637,153.44425781350174
299,677776.5,7184164.25,79.3945541381836,90.96318945075907
300,677776.75,7184164.25,57.3985633850098,50.37009360248278
301,677777.0,7184164.25,41.9242248535156,19.40296228569366
302,677777.25,7184164.25,35.482982635498,3.513880297999748
303,677777.5,7184164.25,34.3503952026367,26.034708515780082
304,677773.0,7184164.5,70.8838653564453,36.6199117529024
305,677773.25,7184164.5,80.1940689086914,33.90151096024849
306,677773.5,7184164.5,93.1336212158203,57.526582228621606
307,677773.75,7184164.5,109.76335144043,64.22316366594175
308,677774.0,7184164.5,131.530212402344,86.32284231973055
309,677774.25,7184164.5,157.39990234375,106.03531175635631
310,677774.5,7184164.5,182.916168212891,125.80744137078376
311,677774.75,7184164.5,200.873962402344,169.68354094883333
312,677775.0,7184164.5,200.594833374023,217.42844066309476
313,677775.25,7184164.5,183.631317138672,229.19157552959254
314,677775.5,7184164.5,173.881561279297,226.92190024598014
315,677775.75,7184164.5,160.091033935547,210.97066561603492
316,677776.0,7184164.5,140.846603393555,177.84792119448522
317,677776.25,7184164.5,116.972381591797,127.68554723825874
318,677776.5,7184164.5,92.1288604736328,77.39695773997339
319,677776.75,7184164.5,72.4580535888672,37.28815997576078
320,677777.0,7184164.5,57.2174377441406,5.756003893134665
321,677777.25,7184164.5,48.9730377197266,-13.179834141830284
322,677777.5,7184164.5,45.6567420959473,-7.185331854101204
323,677773.0,7184164.75,76.8325042724609,20.690866196146516
324,677773.25,7184164.75,83.9859466552734,-24.650763099049897
325,677773.5,7184164.75,94.6140441894531,-22.353057238524695
326,677773.75,7184164.75,108.60018157959,-34.64519071966857
327,677774.0,7184164.75,125.832496643066,-26.450590719444122
328,677774.25,7184164.75,145.057876586914,-21.903411894006418
329,677774.5,7184164.75,163.158416748047,-14.652931725339656
330,677774.75,7184164.75,175.767318725586,20.465397292276435
331,677775.0,7184164.75,177.263702392578,82.53637087019588
332,677775.25,7184164.75,169.49365234375,120.38959204215294
333,677775.5,7184164.75,162.694961547852,138.9099082064774
334,677775.75,7184164.75,153.386001586914,141.44345915433757
335,677776.0,7184164.75,139.720123291016,128.69402686595993
336,677776.25,7184164.75,120.827255249023,100.7540959780394
337,677776.5,7184164.75,97.7354049682617,59.927735505807796
338,677776.75,7184164.75,80.3551025390625,24.443341843796638
339,677777.0,7184164.75,67.5092239379883,-8.004205649939378
340,677777.25,7184164.75,59.3998908996582,-21.296963175003516
341,677777.5,7184164.75,54.9356536865234,-27.17580047528719
342,677773.0,7184165.0,81.3340225219727,24.31663708043982
343,677773.25,7184165.0,86.5711898803711,-56.87421523484058
344,677773.5,7184165.0,94.9426803588867,-71.07917763721115
345,677773.75,7184165.0,106.542770385742,-96.3105090690792
346,677774.0,7184165.0,119.696838378906,-93.48806018809381
347,677774.25,7184165.0,133.224578857422,-91.85625223153606
348,677774.5,7184165.0,145.725250244141,-88.40623688900267
349,677774.75,7184165.0,155.783233642578,-55.06731537999923
350,677775.0,7184165.0,159.169631958008,9.7850498012752
351,677775.25,7184165.0,156.565948486328,47.6807938096063
352,677775.5,7184165.0,152.253784179688,74.63423943798773
353,677775.75,7184165.0,145.91178894043,85.17995330585683
354,677776.0,7184165.0,136.340576171875,85.9004217348375
355,677776.25,7184165.0,122.171363830566,75.29854966398584
356,677776.5,7184165.0,98.7266693115234,55.65852781000389
