LESTE;NORTE;CMA
            677775.75;       7184162.75;    -174.638580322266
               677776;       7184162.75;    -155.283432006836
            677776.25;       7184162.75;    -130.601898193359
             677776.5;       7184162.75;    -101.748382568359
            677776.75;       7184162.75;    -73.2797393798828
               677777;       7184162.75;    -46.9792976379395
            677777.25;       7184162.75;    -23.1618137359619
             677777.5;       7184162.75;    -3.59277868270874
               677773;          7184163;    -12.4603404998779
            677773.25;          7184163;    0.412522584199905
             677773.5;          7184163;     10.3414058685303
            677773.75;          7184163;     17.3703842163086
               677774;          7184163;     25.6032981872559
            677774.25;          7184163;     36.5251083374023
             677774.5;          7184163;     45.5683937072754
            677774.75;          7184163;     42.5857582092285
               677775;          7184163;     15.5242071151733
            677775.25;          7184163;    -34.8010101318359
             677775.5;          7184163;    -69.8242263793945
            677775.75;          7184163;    -88.1952209472656
               677776;          7184163;    -95.5402526855469
            677776.25;          7184163;    -94.0610275268555
             677776.5;          7184163;    -78.6120834350586
            677776.75;          7184163;    -59.2169532775879
               677777;          7184163;    -38.3580551147461
            677777.25;          7184163;    -18.5020275115967
             677777.5;          7184163;    -2.62769174575806
               677773;       7184163.25;     3.25785279273987
            677773.25;       7184163.25;     18.2187976837158
             677773.5;       7184163.25;     32.3900375366211
            677773.75;       7184163.25;     46.2886199951172
               677774;       7184163.25;     63.9027862548828
            677774.25;       7184163.25;     87.3805236816406
             677774.5;       7184163.25;     113.129524230957
            677774.75;       7184163.25;     131.532409667969
               677775;       7184163.25;     127.517967224121
            677775.25;       7184163.25;     87.5424423217773
             677775.5;       7184163.25;     48.7690048217773
            677775.75;       7184163.25;     16.5643348693848
               677776;       7184163.25;    -15.6719522476196
            677776.25;       7184163.25;    -35.4707832336426
             677776.5;       7184163.25;    -40.4435157775879
            677776.75;       7184163.25;    -35.9559173583984
               677777;       7184163.25;    -24.6043548583984
            677777.25;       7184163.25;    -10.4027147293091
             677777.5;       7184163.25;    0.886427700519562
               677773;        7184163.5;     20.0266628265381
            677773.25;        7184163.5;     35.9211006164551
             677773.5;        7184163.5;     52.9012565612793
            677773.75;        7184163.5;     71.4223785400391
               677774;        7184163.5;     95.8912734985352
            677774.25;        7184163.5;     129.309280395508
             677774.5;        7184163.5;     169.301742553711
            677774.75;        7184163.5;     207.342712402344
               677775;        7184163.5;     227.519195556641
            677775.25;        7184163.5;     187.097244262695
             677775.5;        7184163.5;     143.774597167969
            677775.75;        7184163.5;     96.0795822143555
               677776;        7184163.5;     52.5592460632324
            677776.25;        7184163.5;     19.5143642425537
             677776.5;        7184163.5;      -1.007493019104
            677776.75;        7184163.5;    -10.4313650131226
               677777;        7184163.5;    -9.28943538665771
            677777.25;        7184163.5;    -2.73884844779968
             677777.5;        7184163.5;     5.54317378997803
               677773;       7184163.75;      35.930347442627
            677773.25;       7184163.75;     51.3866958618164
             677773.5;       7184163.75;     69.0021438598633
            677773.75;       7184163.75;     89.3262939453125
               677774;       7184163.75;     117.730087280273
            677774.25;       7184163.75;     155.942443847656
             677774.5;       7184163.75;     200.297393798828
            677774.75;       7184163.75;     240.427871704102
               677775;       7184163.75;     257.472961425781
            677775.25;       7184163.75;     225.169250488281
             677775.5;       7184163.75;     185.509979248047
            677775.75;       7184163.75;      141.44157409668
               677776;       7184163.75;     98.9595336914063
            677776.25;       7184163.75;     61.6629638671875
             677776.5;       7184163.75;     33.1713562011719
            677776.75;       7184163.75;     15.3807563781738
               677777;       7184163.75;     7.68531703948975
            677777.25;       7184163.75;     7.13149738311768
             677777.5;       7184163.75;     12.4919319152832
               677773;          7184164;     50.6937522888184
            677773.25;          7184164;     64.0757827758789
             677773.5;          7184164;     80.3710250854492
            677773.75;          7184164;     99.9639053344727
               677774;          7184164;     129.441497802734
            677774.25;          7184164;     167.298065185547
             677774.5;          7184164;     209.009399414063
            677774.75;          7184164;     245.011703491211
               677775;          7184164;     259.377014160156
            677775.25;          7184164;     223.399307250977
             677775.5;          7184164;     193.889511108398
            677775.75;          7184164;      160.48291015625
               677776;          7184164;     124.977195739746
