,LESTE,NORTE,ANOM,GH
108,662998,7284826,0.0,0.0
109,663098,7284826,0.0,0.0
110,663198,7284826,0.0,0.0
111,663298,7284826,0.0,0.0
112,663398,7284826,0.0,0.0
113,663498,7284826,0.0,0.0
114,663598,7284826,0.0,0.0
115,663698,7284826,0.0,0.0
116,663798,7284826,0.0,0.0
117,663898,7284826,0.0,0.0
118,663998,7284826,0.0,0.0
119,664098,7284826,0.0,0.0
120,664198,7284826,0.0,0.0
121,664298,7284826,0.0,0.0
122,652198,7284926,0.0,0.0
123,652298,7284926,0.0,0.0
124,652398,7284926,0.0,0.0
125,652498,7284926,0.0,0.0
126,652598,7284926,0.0,0.0
127,652698,7284926,0.0,0.0
128,652798,7284926,0.0,0.0
129,652898,7284926,0.0,0.0
130,652998,7284926,0.0,0.0
131,653098,7284926,0.0,0.0
132,653198,7284926,0.0,0.0
133,653298,7284926,0.0,0.0
134,653398,7284926,0.0,0.0
135,653498,7284926,0.0,0.0
136,653598,7284926,0.0,0.0
137,653698,7284926,0.0,0.0
138,653798,7284926,0.0,0.0
139,653898,7284926,0.0,0.0
140,653998,7284926,0.0,0.0
141,654098,7284926,0.0,0.0
142,654198,7284926,0.0,0.0
143,654298,7284926,0.0,0.0
144,654398,7284926,0.0,0.0
145,654498,7284926,0.0,0.0
146,654598,7284926,0.0,0.0
147,654698,7284926,0.0,0.0
148,654798,7284926,0.0,0.0
149,654898,7284926,0.0,0.0
150,654998,7284926,0.0,0.0
151,655098,7284926,0.0,0.0
152,655198,7284926,0.0,0.0
153,655298,7284926,0.0,0.0
154,655398,7284926,0.0,0.0
155,655498,7284926,0.0,0.0
156,655598,7284926,0.0,0.0
157,655698,7284926,0.0,0.0
158,655798,7284926,0.0,0.0
159,655898,7284926,0.0,0.0
160,655998,7284926,0.0,0.0
161,656098,7284926,0.0,0.0
162,656198,7284926,0.0,0.0
163,656298,7284926,0.0,0.0
164,656398,7284926,0.0,0.0
165,656498,7284926,0.0,0.0
166,656598,7284926,0.0,0.0
167,656698,7284926,0.0,0.0
168,656798,7284926,0.0,0.0
169,656898,7284926,0.0,0.0
170,656998,7284926,0.0,0.0
171,657098,7284926,0.0,0.0
172,657198,7284926,0.0,0.0
173,657298,7284926,0.0,0.0
174,657398,7284926,0.0,0.0
175,657498,7284926,0.0,0.0
176,657598,7284926,0.0,0.0
177,657698,7284926,0.0,0.0
178,657798,7284926,0.0,0.0
179,657898,7284926,0.0,0.0
180,657998,7284926,0.0,0.0
181,658098,7284926,0.0,0.0
182,658198,7284926,0.0,0.0
183,658298,7284926,0.0,0.0
184,658398,7284926,0.0,0.0
185,658498,7284926,0.0,0.0
186,658598,7284926,0.0,0.0
187,658698,7284926,0.0,0.0
188,658798,7284926,0.0,0.0
189,658898,7284926,0.0,0.0
190,658998,7284926,0.0,0.0
191,659098,7284926,0.0,0.0
192,659198,7284926,0.0,0.0
193,659298,7284926,0.0,0.0
194,659398,7284926,0.0,0.0
195,659498,7284926,0.0,0.0
196,659598,7284926,0.0,0.0
197,659698,7284926,0.0,0.0
198,659798,7284926,0.0,0.0
199,659898,7284926,0.0,0.0
200,659998,7284926,0.0,0.0
201,660098,7284926,0.0,0.0
202,660198,7284926,0.0,0.0
203,660298,7284926,0.0,0.0
204,660398,7284926,0.0,0.0
205,660498,7284926,0.0,0.0
206,660598,7284926,0.0,0.0
207,660698,7284926,0.0,0.0
208,660798,7284926,0.0,0.0
209,660898,7284926,0.0,0.0
210,660998,7284926,0.0,0.0
211,661098,7284926,0.0,0.0
212,661198,7284926,0.0,0.0
213,661298,7284926,0.0,0.0
214,661398,7284926,0.0,0.0
215,661498,7284926,0.0,0.0
216,661598,7284926,0.0,0.0
217,661698,7284926,0.0,0.0
218,661798,7284926,0.0,0.0
219,661898,7284926,0.0,0.0
220,661998,7284926,0.0,0.0
221,662098,7284926,0.0,0.0
222,662198,7284926,0.0,0.0
223,662298,7284926,0.0,0.0
224,662398,7284926,0.0,0.0
225,662498,7284926,0.0,0.0
226,662598,7284926,0.0,0.0
227,662698,7284926,0.0,0.0
228,662798,7284926,0.0,0.0
229,662898,7284926,0.0,0.0
230,662998,7284926,0.0,0.0
231,663098,7284926,0.0,0.0
232,663198,7284926,0.0,0.0
233,663298,7284926,0.0,0.0
234,663398,7284926,0.0,0.0
235,663498,7284926,0.0,0.0
236,663598,7284926,0.0,0.0
237,663698,7284926,0.0,0.0
238,663798,7284926,0.0,0.0
239,663898,7284926,0.0,0.0
240,663998,7284926,0.0,0.0
241,664098,7284926,0.0,0.0
242,664198,7284926,0.0,0.0
243,664298,7284926,0.0,0.0
244,652198,7285026,0.0,0.0
245,652298,7285026,0.0,0.0
246,652398,7285026,0.0,0.0
247,652498,7285026,0.0,0.0
248,652598,7285026,0.0,0.0
249,652698,7285026,0.0,0.0
250,652798,7285026,-0.0,0.0
251,652898,7285026,0.0,0.0
252,652998,7285026,-0.0,0.0
253,653098,7285026,0.0,0.0
254,653198,7285026,0.0,0.0
255,653298,7285026,0.0,0.0
256,653398,7285026,0.0,0.0
257,653498,7285026,0.0,0.0
258,653598,7285026,-0.0,0.0
259,653698,7285026,0.0,0.0
260,653798,7285026,0.0,0.0
261,653898,7285026,0.0,0.0
262,653998,7285026,0.0,0.0
263,654098,7285026,0.0,0.0
