,LESTE,NORTE,ANOM,DX1,DY1,DZ1
62,658398,7284826,0.0,1.2827896559076557e-20,0.00014872950792255507,-0.0025716596499394677
63,658498,7284826,0.0,2.863579498611547e-19,-7.569473254597316e-05,-0.00247903222378979
64,658598,7284826,0.0,2.993386657078787e-19,2.4720842644711007e-05,-0.0023648327970086204
65,658698,7284826,0.0,3.7243141184421353e-19,0.0001396420494812869,-0.0022603535871273455
66,658798,7284826,0.0,2.9129433768598656e-19,0.00011739176006649775,-0.0021635357173477835
67,658898,7284826,0.0,2.7203216672540893e-19,2.6513898201705384e-05,-0.002061467867092097
68,658998,7284826,0.0,3.56937184065425e-19,0.0003007529892185359,-0.0019644872201288422
69,659098,7284826,0.0,4.1392923929780085e-19,4.926023388666305e-05,-0.0018702158962764933
70,659198,7284826,0.0,4.077612182541475e-19,6.24128483627481e-05,-0.0017656091828401402
71,659298,7284826,0.0,4.603117271471366e-19,8.552618035770152e-05,-0.0016578650658124951
72,659398,7284826,0.0,4.550814381978929e-19,8.968093986311829e-05,-0.0015621605313422147
73,659498,7284826,0.0,4.2355927269896994e-19,0.0001483044143803896,-0.001516795263274957
74,659598,7284826,0.0,4.0500165181524145e-19,0.0001682559125521786,-0.0015122382354392679
75,659698,7284826,0.0,4.980515237729516e-19,0.00016219370470899394,-0.001513248447539959
76,659798,7284826,0.0,4.285900568778181e-19,0.00017255969263929946,-0.00150962806027492
77,659898,7284826,0.0,3.7880118648432907e-19,0.00016866782716133297,-0.0015009964789671874
78,659998,7284826,0.0,5.019400141527506e-19,0.00017893943535184773,-0.0014903621066657848
79,660098,7284826,0.0,4.2743125923185615e-19,0.00017504756987388176,-0.0014816848555429768
80,660198,7284826,0.0,4.680392563108211e-19,0.00018324321543896873,-0.0014768492432623438
81,660298,7284826,0.0,5.16571607022569e-19,0.00017253837294403229,-0.0014765322042206393
82,660398,7284826,0.0,3.792889650854476e-19,0.000178335069076489,-0.0014733976542003534
83,660498,7284826,0.0,5.056097594622003e-19,0.0001877820067932081,-0.0014466878890151862
84,660598,7284826,0.0,5.430878677408378e-19,0.0001525363189097353,-0.001369920888303028
85,660698,7284826,0.0,3.272364169543188e-19,0.00017536568640879317,-0.0012703154889275139
86,660798,7284826,0.0,4.0464330507974017e-19,0.00021515433735644064,-0.0011672847717588604
87,660898,7284826,0.0,4.390143294739774e-19,0.00010714551507171719,-0.0010593946155978884
88,660998,7284826,0.0,4.802034823792848e-19,9.922841645270902e-05,-0.0009644839548834393
89,661098,7284826,0.0,4.325188470360542e-19,0.00018298103977323356,-0.0008683022994514038
90,661198,7284826,0.0,4.851369554574182e-19,0.0001259394116791125,-0.0007679338569674336
91,661298,7284826,0.0,4.876379746524132e-19,1.1517277840754071e-05,-0.0006646443031326064
92,661398,7284826,0.0,4.43243715360746e-19,0.00010828336278341836,-0.0005628286176786818
93,661498,7284826,0.0,2.5249015904433137e-19,0.00010464245286384634,-0.00046014145682429
94,661598,7284826,0.0,2.8597690629471192e-19,9.741041619058723e-05,-0.00038529068219540546
95,661698,7284826,0.0,3.53903845130051e-19,1.0372521329643793e-05,-0.00036297670780242376
96,661798,7284826,0.0,4.078296551593133e-19,-5.988522937087903e-19,-0.0003612674227167224
97,661898,7284826,0.0,5.61330989319986e-19,-6.183340514956392e-19,-0.0003596189839620361
98,661998,7284826,0.0,3.3598407190809716e-19,-9.605353621863766e-19,-0.00035497398358653933
99,662098,7284826,0.0,1.412307971496464e-19,-8.161162446795184e-19,-0.00034910352664277927
100,662198,7284826,0.0,3.2134069774653654e-19,-7.61482619581616e-19,-0.0003443719313710236
101,662298,7284826,0.0,2.4138252664085197e-19,-3.610477937671455e-19,-0.0003417150968788348
102,662398,7284826,0.0,2.9654325500374785e-19,-2.659683454378503e-19,-0.0003404415906465452
103,662498,7284826,0.0,2.234929365839018e-19,-1.8147680894923385e-19,-0.0003394681058572542
104,662598,7284826,0.0,1.810283626371296e-19,-3.271664758769735e-19,-0.00033801915859934823
105,662698,7284826,0.0,4.071798299630677e-19,-4.698915274893231e-19,-0.0003361952946659208
106,662798,7284826,0.0,7.291688625172784e-20,-4.552802091491864e-19,-0.0003344962215515545
107,662898,7284826,0.0,-1.0203140276272656e-20,-2.541098841762901e-19,-0.00033335045921356707
108,662998,7284826,0.0,1.8867828248879966e-19,-6.187575679692664e-19,-0.0003327511856556607
109,663098,7284826,0.0,1.3557915861967452e-19,-3.8031779331718085e-19,-0.00033230993864252545
110,663198,7284826,0.0,1.958129154922017e-19,-4.612094397799665e-19,-0.00033167942958841116
111,663298,7284826,0.0,1.693786039871603e-19,-2.1175823681357508e-19,-0.0003307648268784958
